Analysis Type:,PANTHER Overrepresentation Test (Released 20221013),,,,,,
Annotation Version and Release Date:,GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10,,,,,,
Analyzed List:,upload_1 (Arabidopsis thaliana),,,,,,
Reference List:,Arabidopsis thaliana (all genes in database),,,,,,
Test Type:,FISHER,,,,,,
Correction:,BONFERRONI,,,,,,
Bonferroni count:,2976,,,,,,
GO biological process complete,Arabidopsis thaliana - REFLIST (27430),upload_1 (422),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value),hierarchy
auxin metabolic process (GO:0009850),55,8,0.85,+,9.45,1.45E-02,1
response to molecule of bacterial origin (GO:0002237),160,16,2.46,+,6.5,3.81E-05,1
indole-containing compound metabolic process (GO:0042430),190,19,2.92,+,6.5,1.64E-06,
indole-containing compound biosynthetic process (GO:0042435),121,11,1.86,+,5.91,1.69E-02,1
leaf senescence (GO:0010150),278,25,4.28,+,5.85,2.56E-08,1
regulation of defense response (GO:0031347),885,75,13.62,+,5.51,1.44E-28,1
plant organ senescence (GO:0090693),328,27,5.05,+,5.35,2.47E-08,
regulation of response to stress (GO:0080134),1018,78,15.66,+,4.98,3.93E-27,
defense response to fungus (GO:0050832),930,67,14.31,+,4.68,2.31E-21,1
response to salicylic acid (GO:0009751),418,29,6.43,+,4.51,1.95E-07,1
response to fungus (GO:0009620),1186,80,18.25,+,4.38,1.92E-24,
cellular response to organic cyclic compound (GO:0071407),298,20,4.58,+,4.36,3.11E-04,1
cellular response to hypoxia (GO:0071456),239,16,3.68,+,4.35,6.05E-03,1
cellular response to decreased oxygen levels (GO:0036294),241,16,3.71,+,4.32,6.70E-03,
response to fatty acid (GO:0070542),709,47,10.91,+,4.31,8.40E-13,
cellular response to oxygen levels (GO:0071453),242,16,3.72,+,4.3,7.04E-03,
response to organic cyclic compound (GO:0014070),964,62,14.83,+,4.18,3.66E-17,
response to wounding (GO:0009611),943,60,14.51,+,4.14,2.69E-16,1
defense response to bacterium (GO:0042742),1105,70,17,+,4.12,1.90E-19,
response to bacterium (GO:0009617),1403,87,21.58,+,4.03,1.69E-24,
response to jasmonic acid (GO:0009753),676,41,10.4,+,3.94,1.18E-09,
cellular response to lipid (GO:0071396),837,50,12.88,+,3.88,4.41E-12,1
cellular response to oxygen-containing compound (GO:1901701),1258,75,19.35,+,3.88,1.36E-19,1
response to oxidative stress (GO:0006979),743,44,11.43,+,3.85,3.34E-10,1
response to hypoxia (GO:0001666),343,20,5.28,+,3.79,2.54E-03,
regulation of response to stimulus (GO:0048583),1477,86,22.72,+,3.78,2.23E-22,
response to decreased oxygen levels (GO:0036293),353,20,5.43,+,3.68,3.87E-03,
response to oxygen levels (GO:0070482),355,20,5.46,+,3.66,4.20E-03,
response to external biotic stimulus (GO:0043207),2677,145,41.18,+,3.52,1.47E-38,
response to other organism (GO:0051707),2677,145,41.18,+,3.52,1.47E-38,
response to biotic stimulus (GO:0009607),2680,145,41.23,+,3.52,1.67E-38,
cellular response to organic substance (GO:0071310),1649,89,25.37,+,3.51,4.05E-21,
biological process involved in interspecies interaction between organisms (GO:0044419),2691,145,41.4,+,3.5,2.63E-38,
defense response to other organism (GO:0098542),2299,123,35.37,+,3.48,6.19E-31,
response to alcohol (GO:0097305),1324,70,20.37,+,3.44,2.37E-15,
response to osmotic stress (GO:0006970),1056,55,16.25,+,3.39,3.63E-11,
defense response (GO:0006952),2619,132,40.29,+,3.28,3.55E-31,
response to water deprivation (GO:0009414),1250,63,19.23,+,3.28,1.46E-12,1
cellular response to endogenous stimulus (GO:0071495),1160,57,17.85,+,3.19,1.19E-10,
cellular response to hormone stimulus (GO:0032870),1126,55,17.32,+,3.17,4.41E-10,
cellular response to chemical stimulus (GO:0070887),2130,104,32.77,+,3.17,3.65E-22,
response to acid chemical (GO:0001101),1396,68,21.48,+,3.17,4.33E-13,
response to external stimulus (GO:0009605),3199,155,49.22,+,3.15,3.26E-36,
response to water (GO:0009415),1363,66,20.97,+,3.15,1.71E-12,
response to salt (GO:1902074),1471,71,22.63,+,3.14,1.31E-13,
response to abscisic acid (GO:0009737),1181,57,18.17,+,3.14,2.43E-10,1
leaf development (GO:0048366),562,27,8.65,+,3.12,1.26E-03,
response to inorganic substance (GO:0010035),2250,102,34.62,+,2.95,2.70E-19,
hormone-mediated signaling pathway (GO:0009755),864,39,13.29,+,2.93,1.62E-05,1
response to lipid (GO:0033993),2756,124,42.4,+,2.92,2.22E-24,
signal transduction (GO:0007165),2230,99,34.31,+,2.89,5.84E-18,
monocarboxylic acid metabolic process (GO:0032787),699,31,10.75,+,2.88,9.21E-04,1
response to oxygen-containing compound (GO:1901700),3436,151,52.86,+,2.86,2.75E-30,
signaling (GO:0023052),2300,101,35.38,+,2.85,4.39E-18,
cell communication (GO:0007154),2525,109,38.85,+,2.81,2.41E-19,
response to endogenous stimulus (GO:0009719),2753,117,42.35,+,2.76,1.29E-20,
response to hormone (GO:0009725),2722,115,41.88,+,2.75,5.82E-20,
response to salt stress (GO:0009651),711,30,10.94,+,2.74,3.84E-03,1
response to organic substance (GO:0010033),4566,178,70.25,+,2.53,6.47E-31,
carboxylic acid metabolic process (GO:0019752),1561,60,24.02,+,2.5,4.64E-07,
cellular response to stimulus (GO:0051716),3858,147,59.35,+,2.48,8.08E-23,
response to chemical (GO:0042221),5314,199,81.75,+,2.43,1.13E-33,
oxoacid metabolic process (GO:0043436),2055,75,31.62,+,2.37,2.03E-08,
response to stress (GO:0006950),5760,205,88.62,+,2.31,7.44E-32,
organic acid metabolic process (GO:0006082),2175,77,33.46,+,2.3,4.12E-08,
phosphorus metabolic process (GO:0006793),1875,61,28.85,+,2.11,1.80E-04,
phosphate-containing compound metabolic process (GO:0006796),1827,59,28.11,+,2.1,3.85E-04,1
small molecule metabolic process (GO:0044281),3100,96,47.69,+,2.01,1.30E-07,
catabolic process (GO:0009056),2266,65,34.86,+,1.86,5.79E-03,1
response to stimulus (GO:0050896),9761,275,150.17,+,1.83,6.71E-31,
response to abiotic stimulus (GO:0009628),4740,131,72.92,+,1.8,2.83E-08,
protein modification process (GO:0036211),3177,81,48.88,+,1.66,2.37E-02,1
organonitrogen compound metabolic process (GO:1901564),6362,155,97.88,+,1.58,1.72E-06,
biological regulation (GO:0065007),8670,204,133.38,+,1.53,4.47E-09,
regulation of cellular process (GO:0050794),6167,145,94.88,+,1.53,1.19E-04,
regulation of biological process (GO:0050789),8247,192,126.88,+,1.51,1.46E-07,
cellular metabolic process (GO:0044237),9231,191,142.02,+,1.34,2.95E-03,
cellular process (GO:0009987),15272,315,234.95,+,1.34,3.85E-12,
metabolic process (GO:0008152),12903,247,198.51,+,1.24,8.44E-03,
nucleic acid metabolic process (GO:0090304),3274,21,50.37,-,0.42,5.92E-03,
RNA metabolic process (GO:0016070),2814,17,43.29,-,0.39,1.32E-02,1
Unclassified (UNCLASSIFIED),1093,3,16.82,-,0.18,0.00E+00,
